"filename", "language", "Go", "Go Checksum File", "Protocol Buffers", "Go Template File", "Go Module File", "comment", "blank", "total"
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/expressrouteserviceproviders.go", "Go", 129, 0, 0, 0, 0, 0, 17, 146
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/firewallpolicies.go", "Go", 520, 0, 0, 0, 0, 0, 62, 582
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/firewallpolicyrulegroups.go", "Go", 364, 0, 0, 0, 0, 0, 43, 407
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/hubvirtualnetworkconnections.go", "Go", 203, 0, 0, 0, 0, 0, 26, 229
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/inboundnatrules.go", "Go", 374, 0, 0, 0, 0, 0, 43, 417
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/interfaceipconfigurations.go", "Go", 203, 0, 0, 0, 0, 0, 26, 229
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/interfaceloadbalancers.go", "Go", 134, 0, 0, 0, 0, 0, 17, 151
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/interfacesgroup.go", "Go", 1150, 0, 0, 0, 0, 0, 128, 1278
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/interfacetapconfigurations.go", "Go", 387, 0, 0, 0, 0, 0, 43, 430
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/loadbalancerbackendaddresspools.go", "Go", 203, 0, 0, 0, 0, 0, 26, 229
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/loadbalancerfrontendipconfigurations.go", "Go", 204, 0, 0, 0, 0, 0, 26, 230
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/loadbalancerloadbalancingrules.go", "Go", 203, 0, 0, 0, 0, 0, 26, 229
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/loadbalancernetworkinterfaces.go", "Go", 134, 0, 0, 0, 0, 0, 17, 151
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/loadbalanceroutboundrules.go", "Go", 203, 0, 0, 0, 0, 0, 26, 229
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/loadbalancerprobes.go", "Go", 203, 0, 0, 0, 0, 0, 26, 229
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/loadbalancers.go", "Go", 522, 0, 0, 0, 0, 0, 61, 583
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/localnetworkgateways.go", "Go", 440, 0, 0, 0, 0, 0, 54, 494
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/models.go", "Go", 34345, 0, 0, 0, 0, 0, 2819, 37164
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/natgateways.go", "Go", 518, 0, 0, 0, 0, 0, 62, 580
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/operations.go", "Go", 125, 0, 0, 0, 0, 0, 16, 141
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/p2svpngateways.go", "Go", 665, 0, 0, 0, 0, 0, 77, 742
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/p2svpnserverconfigurations.go", "Go", 353, 0, 0, 0, 0, 0, 42, 395
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/packetcaptures.go", "Go", 464, 0, 0, 0, 0, 0, 57, 521
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/peerexpressroutecircuitconnections.go", "Go", 208, 0, 0, 0, 0, 0, 26, 234
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/privateendpoints.go", "Go", 449, 0, 0, 0, 0, 0, 53, 502
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/privatelinkservices.go", "Go", 956, 0, 0, 0, 0, 0, 108, 1064
